track_name,artist_name,artist_count,streams,days_released,is_ranked,chart_rank,inverse_rank,num_playlists,is_minor,bpm,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Blank Space,Taylor Swift,1,1355959075,3751,1,53,0.018867924528301886,11434,0,96,0.75,0.57,0.68,0.09,0.0,0.13,0.06
Woman,Doja Cat,1,1329090101,1019,0,0,0.0,9424,1,108,0.82,0.88,0.76,0.09,0.0,0.12,0.09
Flowers,Miley Cyrus,1,1316855716,453,1,115,0.008695652173913044,12211,0,118,0.71,0.65,0.68,0.06,0.0,0.03,0.07
Pepas,Farruko,1,1309887447,1020,1,17,0.058823529411764705,14114,0,130,0.76,0.44,0.77,0.01,0.0,0.13,0.03
Callaita,"Bad Bunny, Tainy",2,1304313953,1775,1,15,0.06666666666666667,9539,0,176,0.61,0.24,0.62,0.6,0.0,0.24,0.31
Shivers,Ed Sheeran,1,1302184087,943,1,30,0.03333333333333333,10147,0,141,0.79,0.82,0.86,0.28,0.0,0.04,0.09
Heather,Conan Gray,1,1301799902,1481,1,7,0.14285714285714285,6170,0,92,0.47,0.25,0.43,0.62,0.0,0.32,0.03
I Wanna Be Yours,Arctic Monkeys,1,1297026226,4116,1,110,0.00909090909090909,12859,1,135,0.48,0.44,0.42,0.12,0.02,0.11,0.03
Iris,The Goo Goo Dolls,1,1284942608,9506,1,9,0.1111111111111111,13101,1,156,0.32,0.49,0.72,0.0,0.0,0.09,0.04
Danza Kuduro,"Don Omar, Lucenzo",2,1279434863,5212,1,37,0.02702702702702703,17138,0,130,0.47,0.86,0.92,0.08,0.0,0.05,0.24
Creep,Radiohead,1,1271293243,11523,1,7,0.14285714285714285,36724,0,92,0.53,0.12,0.34,0.01,0.0,0.12,0.04
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,1267333350,4116,1,29,0.034482758620689655,23389,0,92,0.7,0.81,0.63,0.04,0.0,0.08,0.04
Titi Me Preguntï¿,Bad Bunny,1,1264310836,704,1,42,0.023809523809523808,9037,1,107,0.65,0.19,0.72,0.1,0.0,0.13,0.25
Yonaguni,Bad Bunny,1,1260594497,1040,1,28,0.03571428571428571,9644,0,180,0.64,0.44,0.65,0.28,0.0,0.14,0.12
deja vu,Olivia Rodrigo,1,1256880657,1104,1,4,0.25,7545,0,181,0.44,0.22,0.6,0.61,0.0,0.42,0.09
positions,Ariana Grande,1,1252563873,1264,0,0,0.0,8207,0,144,0.73,0.66,0.8,0.44,0.0,0.09,0.12
Mockingbird,Eminem,1,1241559043,7404,1,61,0.01639344262295082,12985,1,84,0.62,0.24,0.67,0.21,0.0,0.13,0.28
We Found Love,"Rihanna, Calvin Harris",2,1235005533,4847,1,21,0.047619047619047616,36843,0,128,0.73,0.6,0.77,0.03,0.0,0.11,0.04
traitor,"Juan Cruz Toledo, Huilen Toledo",2,1230855859,1054,1,6,0.16666666666666666,5257,0,176,0.29,0.12,0.33,0.68,0.0,0.12,0.05
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,1230675890,565,1,42,0.023809523809523808,8576,0,131,0.71,0.24,0.47,0.01,0.0,0.27,0.09
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,1223481149,895,0,0,0.0,824,0,77,0.73,0.54,0.74,0.23,0.0,0.41,0.23
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,1223481149,949,1,7,0.14285714285714285,6180,1,77,0.72,0.59,0.76,0.24,0.0,0.42,0.28
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,1221813483,1481,1,5,0.2,9161,0,118,0.65,0.63,0.79,0.03,0.0,0.1,0.03
